% >= HS,% >= Bachelor's,"Pov for 25yo<=, <HS","Pov for 25<=, >=Bachelor's",HFR,SNAP_rate,DPI_rate,PI_rate
92.8,34.6,16.3,3.0,0.406,0.0952092071965889,0.11664124519014109,0.1292678229586747
88.5,36.6,22.6,3.6,0.056,0.10404015693267832,0.13269227196920538,0.15383183796427044
84.3,26.4,33.7,7.1,0.482,0.17306275854106198,0.0881744960564401,0.09698622574176484
85.6,34.1,29.5,5.5,0.124,0.1663404602848232,0.1216623615735254,0.1456914023910166
85.7,28.4,31.9,4.6,0.355,0.15232948678369546,0.08856281337492149,0.09930607747745829
91.5,27.1,19.6,3.2,0.567,0.08051679863760401,0.11714057754326211,0.13254765368859328
89.0,26.1,29.6,4.2,0.359,0.16040085481226224,0.09215250797142009,0.10366817861676829
86.7,23.8,26.8,4.2,0.537,0.15111896340507036,0.10512887304918132,0.11593972681110803
89.7,30.7,27.0,6.6,0.456,0.20573120208111437,0.08884708547518406,0.10162180182556886
89.2,28.7,25.8,4.2,0.368,0.1338279379958347,0.10568394462403931,0.11940329150615502
85.9,32.4,24.7,3.7,0.09,0.16789790484440134,0.10519802345668683,0.11858029461126177
85.6,26.1,32.4,4.8,0.445,0.15874804803817738,0.08564732151561931,0.09482219668198523
91.6,26.6,26.6,5.0,0.523,0.1348497009710144,0.10432852754627255,0.11418079334713312
85.6,24.8,29.9,4.3,0.469,0.17664217513991573,0.09398594277118473,0.10218440003389219
81.9,27.5,29.1,4.4,0.364,0.14519452788888154,0.11615522717796017,0.1288295837941848
91.5,31.3,24.2,4.9,0.425,0.09629394924817254,0.10422980071708497,0.11676589121431946
91.5,35.7,23.3,4.4,0.483,0.15887282118514892,0.10182124043374902,0.11319964933618708
88.4,36.1,21.1,3.5,0.37,0.10530936759926737,0.11419409181628888,0.1304311744341942
90.1,32.7,26.0,4.4,0.344,0.1562654917250791,0.11245811680368395,0.1251448163151711
84.6,18.9,28.6,4.6,0.602,0.16571515989239874,0.07984439242783825,0.08820461028385453
90.9,27.7,25.4,3.9,0.448,0.13948617643564495,0.09507767019127955,0.10734678242212888
93.5,26.6,20.7,4.6,0.613,0.0629232644205658,0.12177470837444142,0.13702539698129043
