% >= HS,% >= Bachelor's,"Pov for 25yo<=, <HS","Pov for 25<=, >=Bachelor's",HFR,SNAP_rate,DPI_rate,PI_rate
84.7,23.5,32.7,4.4,0.51,0.16239639325511332,0.08851650837462396,0.09748286052105755
92.9,28.0,20.6,3.0,0.618,0.1240492031130462,0.14850456022014027,0.16279044616857394
86.1,27.6,32.3,5.7,0.385,0.13800389748935973,0.09413429086568649,0.10446210241264721
85.3,21.4,29.5,4.6,0.493,0.14792519676687105,0.09048332520100982,0.10003774458846908
82.1,31.7,26.5,5.5,0.183,0.1059906190687289,0.1316289077024462,0.15328567729119888
90.5,38.3,24.2,4.4,0.385,0.0957853335372957,0.11533620449580112,0.13162098105895687
90.1,38.0,25.1,3.3,0.2,0.1354504332074314,0.14388202832683172,0.17191405624800396
89.0,30.6,24.7,3.9,0.301,0.13480469945073956,0.10774683124465678,0.12129735262750077
87.2,27.3,28.3,6.1,0.284,0.15369062912541762,0.1034206663004026,0.11579284573268236
85.6,29.1,31.5,4.6,0.382,0.16060728285632336,0.09897494676686214,0.11110337751333024
91.7,31.0,21.6,5.3,0.034,0.12490433015580042,0.1295823359636532,0.14460222419909088
90.1,25.0,22.0,4.9,0.53,0.12727967315035657,0.09306560150916096,0.10293836747595873
88.2,32.8,25.0,4.5,0.238,0.14293164831853686,0.11497145788269726,0.13189636874031022
88.4,24.7,26.1,4.2,0.424,0.13265865917301006,0.0967595502367606,0.10754581280748811
92.1,27.7,20.6,4.0,0.331,0.12606335548716,0.09937404901121331,0.1109437916793868
90.3,31.5,24.0,4.0,0.419,0.10151720034617048,0.10892858430693783,0.12149673662195297
84.5,22.2,33.8,4.3,0.467,0.1809427519750668,0.08639385454303326,0.0962926685100234
83.6,22.9,32.6,4.7,0.481,0.1608403940416507,0.10417275348418165,0.11508002006758258
91.7,29.4,27.5,4.6,0.423,0.17760952711783953,0.08990908280757527,0.100000909353795
89.6,38.2,21.3,3.3,0.219,0.12168577442531257,0.12729960405239032,0.14730650334943785
