House Leaning,Senate Leaning,Average Leaning,LocYear,Geography,% >= HS,% >= Bachelor's,"Pov for 25yo<=, <HS","Pov for 25<=, >=Bachelor's",GeoFIPS,HFR,SNAP_rate,DPI_rate,PI_rate
-0.02857142857142858,-0.025641025641025605,-0.027106227106227093,LA2011,0400000US22,0.825,0.211,0.318,0.05,22000,0.467,0.1679194843804163,0.0961056503116866,0.1047871659136442
-0.039735099337748325,-0.17142857142857137,-0.10558183538315985,ME2011,0400000US23,0.909,0.284,0.257,0.05,23000,0.47,0.183193219467042,0.0861217532438126,0.095172004035859
0.3900709219858156,0.48936170212765956,0.43971631205673756,MD2011,0400000US24,0.889,0.369,0.207,0.032,24000,0.266,0.1053854338007146,0.1243371685491378,0.1420790277144665
0.6000000000000001,0.8,0.7000000000000001,MA2011,0400000US25,0.892,0.391,0.249,0.042,25000,0.135,0.1297623641080587,0.1235249304224572,0.1433912688724271
-0.1454545454545455,-0.368421052631579,-0.25693779904306224,MI2011,0400000US26,0.888,0.256,0.292,0.045,26000,0.325,0.1888905647893548,0.0890863270467626,0.098863041437714
-0.07462686567164178,-0.10447761194029853,-0.08955223880597016,MN2011,0400000US27,0.92,0.324,0.266,0.034,27000,0.411,0.0931104896452477,0.1013557029244775,0.1152407109641555
0.180327868852459,-0.03846153846153849,0.07093316519546025,MS2011,0400000US28,0.8109999999999999,0.198,0.325,0.051,28000,0.498,0.1771827887558731,0.0828297367878178,0.0894025944711843
-0.3006134969325154,-0.5294117647058822,-0.4150126308191988,MO2011,0400000US29,0.8759999999999999,0.261,0.268,0.046,29000,0.434,0.146131220115212,0.0889494309022269,0.0986121327219899
-0.36000000000000004,-0.12000000000000005,-0.24000000000000005,MT2011,0400000US30,0.923,0.282,0.228,0.046,30000,0.603,0.115747680890538,0.0853234384662956,0.0942058132343846
0.23809523809523814,0.04761904761904767,0.1428571428571429,NV2011,0400000US32,0.84,0.225,0.237,0.06,32000,0.318,0.1170038845546199,0.0970629672459566,0.1064754792579441
-0.49,-0.5833333333333333,-0.5366666666666666,NH2011,0400000US33,0.914,0.3339999999999999,0.196,0.025,33000,0.385,0.0909219407730407,0.1140767619187768,0.1256431356906907
0.17500000000000004,0.19999999999999996,0.1875,NJ2011,0400000US34,0.8809999999999999,0.353,0.213,0.031,34000,0.102,0.0882467612210899,0.1292325584845952,0.1481401073168606
0.05714285714285716,0.28571428571428575,0.17142857142857146,NM2011,0400000US35,0.8320000000000001,0.256,0.3379999999999999,0.054,35000,0.366,0.1581641762839101,0.0873143616778641,0.0951637266465524
